name,item_type,quantity,max_sellOrder,min_buyOrder,total_spend,total_income,total_profit
Exquisite Flower,item,2250,2,2,4223,4500,277
Ferralith Quill,item,2,15,150,25,300,275
Rough Leather Boots,item,24,10,10,64,322,258
Simple Chum,item,24,15,20,228,480,252
Infused Embergrain Seeds,item,25,15,25,375,625,250
Pyrelite Quill,item,1,500,750,500,750,250
Emarium Pickaxe,item,1,750,1000,750,1000,250
Sturdy Woven Shorts,item,1,50,300,50,300,250
Zesty Hot Tea,item,99,10,10,742,990,248
Molten Pyrelite,item,123,20,20,2220,2460,240
Simple Building Elixir,item,22,30,30,660,900,240
Wavecrest Eel,cargo,40,49,50,1960,2200,240
Rough Leather Shirt,item,15,20,25,166,400,234
Simple Leather Boots,item,44,5,10,208,440,232
Exquisite Glass,item,35,8,13,226,455,229
Simple Ink,item,44,13,15,433,660,227
Exquisite Trunk,cargo,21,10,20,205,420,215
Elenvar Ore Concentrate,item,1,10,220,10,220,210
Sturdy Cloth,item,3,40,110,120,330,210
Emarium Nails,item,41,10,10,202,410,208
Pyrelite Machete,item,10,35,50,325,530,205
Ferralith Plated Armor,item,7,20,35,57,260,203
Grass Shirt,item,50,1,5,50,250,200
Rough Emerald Fragment,item,403,1,1,403,603,200
Elenvar Axe,item,1,2000,2200,2000,2200,200
Emarium Rod,item,1,100,300,100,300,200
Pyrelite Bow,item,1,800,1000,800,1000,200
Rough Sapphire Fragment,item,443,1,1,443,643,200
Succulent Deluxe Fish and Bulbs,item,30,50,50,1500,1700,200
Rough Ruby Fragment,item,429,1,1,429,629,200
Fine Forester's Pot,item,10,30,50,300,500,200
Infused Wispweave Seeds,item,100,14,15,1400,1600,200
Fine Woven Shorts,item,1,200,400,200,400,200
Rough Diamond Fragment,item,472,1,1,472,672,200
Peerless Tree Bark,item,893,2,2,1782,1978,196
Grass Waistwrap,item,49,1,5,49,245,196
Grass Sandals,item,49,1,5,49,245,196
Oceancrest Marlin Filet,item,3857,1,1,3857,4049,192
Infused Metal Solvent,item,7,50,55,350,530,180
Pyrelite Chisel,item,9,33,50,274,450,176
Beginner's Stone Research,item,2,200,200,225,400,175
Simple Tanned Pelt,item,8,4,25,32,200,168
Savory Roasted Ocean Fish,item,18,1,10,18,180,162
Simple Glass,item,61,5,5,219,380,161
Azure Shark,cargo,15,150,150,2090,2250,160
Fine Gypsite,item,20,50,55,940,1100,160
Potted Beech Sapling,item,35,10,10,195,350,155
Mossfin Chub,item,78,8,9,551,702,151
Unfired Simple Brick,item,10,7,20,50,200,150
Sturdy Glass,item,90,14,14,1110,1260,150
Talented Woodcraft Item Storage,item,1,350,500,350,500,150
Umbura Fur,item,16,40,40,581,730,149
Fine Fertilizer,item,1200,5,5,5856,6000,144
Basic Pigment,item,231,2,2,415,557,142
Refined Rough Brick,item,3,150,150,310,450,140
Zesty Fish and Bulbs,item,27,5,10,135,270,135
Plain Deluxe Meat Sandwich,item,10,2,15,16,150,134
Peerless Sand,item,1000,4,4,3868,4000,132
Pyrelite Spear & Shield,item,1,70,200,70,200,130
Fine Crop Oil,item,133,20,20,2530,2660,130
Sturdy Brick,item,13,50,59,643,767,124
Basic Firesand,item,5,30,50,130,250,120
Molten Elenvar,item,1,100,220,100,220,120
Succulent Bread,item,40,7,10,280,400,120
Aurumite Ore Chunk,cargo,5,1,25,5,125,120
Savory Fish and Bulbs,item,38,4,5,71,190,119
Exquisite Sand,item,1203,4,4,4694,4812,118
Emberscale Sturgeon,item,19,10,10,80,190,110
Rough Brick Slab,cargo,3,1,10,3,110,107
Simple Woven Shorts,item,1,50,155,50,155,105
Rough Fiber Package,cargo,1,5,110,5,110,105
Emberfin Shiner Filet,item,1527,1,1,1527,1628,101
Fine Embergrain Dough,item,100,1,2,100,200,100
Simple Pebbles,item,16590,1,1,16590,16690,100
Rough Emerald,item,137,1,1,137,237,100
Rangifer,cargo,1,100,200,100,200,100
Sturdy Straw,item,5,10,30,50,150,100
Rough Leather Gloves,item,27,10,10,208,304,96
Simple Woven Belt,item,99,2,2,105,198,93
Ferralith Spear & Shield,item,9,10,15,44,135,91
Exquisite Wispweave Filament,item,28,5,7,114,196,82
Simple Metal Solvent,item,5,30,46,150,230,80
Simple Chemical Catalyst,item,1,50,130,50,130,80
Rough Glass,item,80,5,5,322,400,78
Simple Healing Potion,item,5,35,50,175,250,75
Simple Leather Gloves,item,65,5,5,257,325,68
Exquisite Plank,item,3,75,76,160,228,68
Savory Cooked Berries,item,108,1,1,108,174,66
Basic Potter's Mix,item,99,2,2,138,202,64
Refined Ferralith Ingot,item,4,200,215,800,860,60
Exquisite Rope,item,12,150,155,1800,1860,60
Rathium Ingot,item,2,170,200,340,400,60
Simple Woven Cap,item,26,2,4,51,104,53
Fine Glass,item,7,10,13,40,91,51
Simple Diamond,item,50,1,2,50,100,50
Simple Woven Shirt,item,1,200,250,200,250,50
Pyrelite Hoe,item,11,50,50,550,600,50
Zesty Deluxe Ocean Fish Sticks,item,10,30,35,300,350,50
Simple Emerald,item,49,1,2,49,98,49
Pyrelite Bow,item,1,1,50,1,50,49
Ferralith Daggers,item,4,10,19,31,76,45
